Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2015-10-19 13:56:15.499 -0400,"Running",0:00:00,0,0,0,"20151019_135615.499/LogFile.txt","","",0
2015-10-19 13:56:33.534 -0400,"Success",0:00:03,0,0,0,"20151019_135633.534/LogFile.txt","","",1
